VFGID,VFID,VFCID
VFG000454,VF0105,VFC0001
VFG000455,VF0105,VFC0001
VFG000456,VF0105,VFC0001
VFG000457,VF0103,VFC0001
VFG000458,VF0103,VFC0001
VFG000459,VF0103,VFC0001
VFG000460,VF0103,VFC0001
VFG000461,VF0103,VFC0001
VFG000462,VF0103,VFC0001
VFG000463,VF0109,VFC0282
VFG000464,VF0949,VFC0086
VFG000465,VF0949,VFC0086
VFG000466,VF0949,VFC0086
VFG000467,VF0949,VFC0086
VFG000468,VF0947,VFC0086
VFG000469,VF0948,VFC0086
VFG000470,VF0947,VFC0086
VFG000471,VF0947,VFC0086
VFG000474,VF0111,VFC0301
VFG000475,VF0111,VFC0301
VFG000477,VF0112,VFC0301
VFG000478,VF0113,VFC0301
VFG000492,VF0321,VFC0086
VFG000493,VF0321,VFC0086
VFG000494,VF0321,VFC0086
VFG000495,VF0321,VFC0086
VFG000496,VF0321,VFC0086
VFG000497,VF0321,VFC0086
VFG000498,VF0321,VFC0086
VFG000499,VF0321,VFC0086
VFG000500,VF0321,VFC0086
VFG000501,VF0321,VFC0086
VFG000502,VF0321,VFC0086
VFG000503,VF0321,VFC0086
VFG000504,VF0321,VFC0086
VFG000505,VF0321,VFC0086
VFG000506,VF0321,VFC0086
VFG000507,VF0321,VFC0086
VFG000508,VF0321,VFC0086
VFG000509,VF0321,VFC0086
VFG000510,VF0321,VFC0086
VFG000511,VF0321,VFC0086
VFG000512,VF0321,VFC0086
VFG000513,VF0321,VFC0086
VFG000514,VF0321,VFC0086
VFG000515,VF0321,VFC0086
VFG000516,VF0321,VFC0086
VFG000517,VF0321,VFC0086
VFG000518,VF0321,VFC0086
VFG000519,VF0321,VFC0086
VFG000520,VF0321,VFC0086
VFG000521,VF0321,VFC0086
VFG000522,VF0321,VFC0086
VFG000529,VF0949,VFC0086
VFG000530,VF0116,VFC0086
VFG000531,VF0116,VFC0086
VFG000532,VF0116,VFC0086
VFG000533,VF0116,VFC0086
VFG000534,VF0116,VFC0086
VFG000535,VF0116,VFC0086
VFG000536,VF0116,VFC0086
VFG000537,VF0116,VFC0086
VFG000538,VF0116,VFC0086
VFG000539,VF0116,VFC0086
VFG000540,VF0949,VFC0086
VFG000541,VF0116,VFC0086
VFG000542,VF0116,VFC0086
VFG000543,VF0949,VFC0086
VFG000544,VF0116,VFC0086
VFG000545,VF0116,VFC0086
VFG000546,VF0116,VFC0086
VFG000547,VF0116,VFC0086
VFG000548,VF0116,VFC0086
VFG000549,VF0116,VFC0086
VFG000550,VF0116,VFC0086
VFG000551,VF0116,VFC0086
VFG000552,VF0116,VFC0086
VFG000553,VF0116,VFC0086
VFG000554,VF0116,VFC0086
VFG000555,VF0116,VFC0086
VFG000556,VF0116,VFC0086
VFG000557,VF0116,VFC0086
VFG000558,VF0116,VFC0086
VFG000559,VF0116,VFC0086
VFG000560,VF0116,VFC0086
VFG000561,VF0116,VFC0086
VFG000574,VF0106,VFC0272
VFG000575,VF0106,VFC0272
VFG000581,VF0970,VFC0001
VFG000589,VF0947,VFC0086
VFG000615,VF0123,VFC0272
VFG000616,VF0123,VFC0272
VFG000617,VF0123,VFC0272
VFG000618,VF0123,VFC0272
VFG000619,VF0123,VFC0272
VFG000630,VF0119,VFC0251
VFG000635,VF0120,VFC0251
VFG000636,VF0125,VFC0235
VFG000637,VF0125,VFC0235
VFG000667,VF0121,VFC0204
VFG000669,VF0124,VFC0258
VFG000670,VF0124,VFC0258
VFG000671,VF0124,VFC0258
VFG000674,VF0061,VFC0251
VFG000676,VF0142,VFC0235
VFG000677,VF0142,VFC0235
VFG000678,VF0142,VFC0235
VFG000679,VF0141,VFC0258
VFG000680,VF0141,VFC0258
VFG000681,VF0141,VFC0258
VFG000682,VF0141,VFC0258
VFG000685,VF0043,VFC0258
VFG000686,VF0043,VFC0258
VFG000687,VF0043,VFC0258
VFG000688,VF0043,VFC0258
VFG000689,VF0043,VFC0258
VFG000690,VF0043,VFC0258
VFG000691,VF0043,VFC0258
VFG000692,VF0043,VFC0258
VFG000693,VF0043,VFC0258
VFG000694,VF0043,VFC0258
VFG000696,VF0043,VFC0258
VFG000704,VF0043,VFC0258
VFG000710,VF0189,VFC0301
VFG000739,VF0177,VFC0086
VFG000750,VF0174,VFC0001
VFG000751,VF0174,VFC0001
VFG000752,VF0174,VFC0001
VFG000755,VF0174,VFC0001
VFG000757,VF0174,VFC0001
VFG000760,VF0174,VFC0001
VFG000762,VF0174,VFC0001
VFG000763,VF0190,VFC0301
VFG000764,VF0190,VFC0301
VFG000765,VF0190,VFC0301
VFG000794,VF1110,VFC0086
VFG000795,VF0191,VFC0086
VFG000796,VF0191,VFC0086
VFG000797,VF0191,VFC0086
VFG000799,VF0191,VFC0086
VFG000800,VF0191,VFC0086
VFG000801,VF0191,VFC0086
VFG000802,VF0191,VFC0086
VFG000803,VF0202,VFC0086
VFG000804,VF0191,VFC0086
VFG000805,VF1110,VFC0086
VFG000806,VF1110,VFC0086
VFG000807,VF0191,VFC0086
VFG000808,VF1110,VFC0086
VFG000809,VF0191,VFC0086
VFG000810,VF0191,VFC0086
VFG000811,VF0191,VFC0086
VFG000812,VF0191,VFC0086
VFG000813,VF0191,VFC0086
VFG000814,VF0191,VFC0086
VFG000815,VF1110,VFC0086
VFG000816,VF0191,VFC0086
VFG000817,VF0191,VFC0086
VFG000818,VF0191,VFC0086
VFG000819,VF0191,VFC0086
VFG000820,VF0191,VFC0086
VFG000821,VF0191,VFC0086
VFG000822,VF0191,VFC0086
VFG000823,VF0191,VFC0086
VFG000824,VF0191,VFC0086
VFG000825,VF0191,VFC0086
VFG000826,VF0191,VFC0086
VFG000827,VF0191,VFC0086
VFG000828,VF0191,VFC0086
VFG000829,VF0191,VFC0086
VFG000830,VF0191,VFC0086
VFG000831,VF0191,VFC0086
VFG000832,VF0192,VFC0301
VFG000833,VF1110,VFC0086
VFG000834,VF0191,VFC0086
VFG000837,VF0206,VFC0235
VFG000838,VF0206,VFC0235
VFG000839,VF0194,VFC0001
VFG000840,VF0207,VFC0235
VFG000841,VF0207,VFC0235
VFG000842,VF0207,VFC0235
VFG000843,VF0207,VFC0235
VFG000844,VF0208,VFC0086
VFG000845,VF0203,VFC0086
VFG000846,VF0209,VFC0251
VFG000847,VF0214,VFC0001
VFG000848,VF0214,VFC0001
VFG000849,VF0214,VFC0001
VFG000850,VF0214,VFC0001
VFG000851,VF0214,VFC0001
VFG000852,VF0214,VFC0001
VFG000853,VF0214,VFC0001
VFG000854,VF0214,VFC0001
VFG000855,VF0214,VFC0001
VFG000857,VF0214,VFC0001
VFG000859,VF0219,VFC0235
VFG000861,VF0218,VFC0086
VFG000862,VF0217,VFC0086
VFG000871,VF0221,VFC0001
VFG000872,VF0221,VFC0001
VFG000873,VF0221,VFC0001
VFG000874,VF0221,VFC0001
VFG000875,VF0221,VFC0001
VFG000876,VF0221,VFC0001
VFG000877,VF0221,VFC0001
VFG000878,VF0221,VFC0001
VFG000879,VF0221,VFC0001
VFG000880,VF0220,VFC0001
VFG000881,VF0220,VFC0001
VFG000882,VF0220,VFC0001
VFG000883,VF0220,VFC0001
VFG000884,VF0220,VFC0001
VFG000885,VF0220,VFC0001
VFG000886,VF0220,VFC0001
VFG000887,VF0220,VFC0001
VFG000888,VF0220,VFC0001
VFG000889,VF0220,VFC0001
VFG000890,VF0220,VFC0001
VFG000891,VF0220,VFC0001
VFG000893,VF0220,VFC0001
VFG000901,VF0220,VFC0001
VFG000902,VF0231,VFC0086
VFG000903,VF0232,VFC0086
VFG000904,VF1112,VFC0086
VFG000905,VF0225,VFC0235
VFG000906,VF0225,VFC0235
VFG000907,VF0225,VFC0235
VFG000908,VF0225,VFC0235
VFG000909,VF0224,VFC0001
VFG000910,VF0224,VFC0001
VFG000911,VF0224,VFC0001
VFG000912,VF0224,VFC0001
VFG000913,VF0224,VFC0001
VFG000914,VF0224,VFC0001
VFG000915,VF0224,VFC0001
VFG000916,VF0227,VFC0272
VFG000917,VF0227,VFC0272
VFG000918,VF0227,VFC0272
VFG000919,VF0227,VFC0272
VFG000920,VF0227,VFC0272
VFG000921,VF0227,VFC0272
VFG000922,VF0227,VFC0272
